,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
877324,1510,22,4,6,0,87,58,1704
877326,1815,58,4,16,1,188,58,4098
877328,1422,50,43,6,1,151,68,3391
877333,1808,26,4,17,0,182,68,2330
877339,1742,53,2,11,1,151,32,3435
877340,1615,24,22,4,1,3,24,1695
877342,1715,33,4,7,0,188,58,421
877345,1945,27,37,15,0,199,58,8604
877348,1640,58,2,11,1,158,49,4093
877351,1225,47,10,15,1,199,28,9540
877353,815,35,3,15,1,199,70,9278
877360,100,31,52,20,0,151,58,5334
877375,115,74,81,14,1,151,37,991
877382,2245,25,37,7,0,151,58,2203
877390,1000,44,4,4,0,199,58,4015
877392,100,27,36,20,0,189,58,6470
877394,2130,61,4,14,0,189,58,6667
877397,2000,22,37,11,0,151,58,8715
877402,1526,19,2,19,1,199,69,7587
877408,2010,35,56,6,1,188,24,3887
877410,1720,23,4,17,1,6,58,7586
877418,2345,20,37,0,0,199,58,2498
877425,1720,33,56,10,0,149,56,9507
877431,1410,49,4,13,0,199,58,9747
877437,430,51,13,13,1,159,68,1633
877450,1105,15,4,4,1,67,58,1735
877451,1850,49,56,0,1,199,58,8988
877455,1350,32,43,14,0,3,68,5288
877458,145,32,2,11,0,47,41,5391
877472,2300,17,37,7,0,151,58,8874
877484,1930,40,2,15,0,165,69,5817
877487,2055,42,3,19,1,227,70,7231
877505,130,33,4,18,0,158,58,1224
877518,1350,24,4,15,1,199,58,5469
877532,830,13,9,14,1,73,70,6639
877533,1730,39,56,6,1,199,37,9975
877537,2100,59,2,0,0,199,32,9393
877538,1000,84,56,15,1,223,68,5629
877545,1250,58,4,16,0,151,58,7158
877551,930,29,2,0,1,199,24,7600
877552,301,33,0,17,1,67,19,7094
877553,2140,40,2,4,0,165,0,9093
877562,2000,75,80,0,1,223,23,7213
877566,1100,82,4,10,0,189,58,5605
877578,2230,41,37,3,0,189,58,7854
877581,1045,16,37,17,0,67,58,2568
877585,1425,41,56,20,1,199,24,10037
877591,2048,38,0,2,0,199,19,477
877604,2200,49,4,0,1,189,58,4647
877605,2005,52,13,18,1,189,68,692
877612,20,36,80,12,1,189,45,8310
877613,1200,35,37,3,0,189,58,1961
877619,1000,61,4,12,1,165,58,9728
877621,15,27,2,15,0,151,37,5816
877628,1045,49,2,20,1,199,25,2084
877636,420,32,2,8,1,188,68,9226
877637,1600,15,3,3,1,188,37,8836
877645,1620,31,10,1,1,158,37,8104
877653,2359,38,2,8,1,199,58,9602
877657,2350,22,56,15,1,199,68,4818
877663,1310,33,7,16,0,163,58,9271
877669,900,33,13,0,1,189,20,8045
877675,1900,14,76,2,0,189,68,3446
877677,2320,66,4,1,1,199,58,9450
877684,950,38,37,14,0,151,58,6013
877688,1345,19,4,11,1,31,58,4866
877695,45,78,4,17,1,151,58,6086
877700,1145,31,4,4,1,189,58,1775
877706,2335,29,56,14,1,199,66,578
877716,1,39,3,0,1,199,66,9448
877717,1800,9,18,7,1,189,58,9047
877723,1035,36,37,4,1,188,58,2792
877726,1820,60,37,19,0,34,58,7741
877739,300,19,37,2,0,151,58,3948
877753,2350,54,13,9,1,158,68,2402
877761,1600,22,37,15,0,151,58,5707
877763,1430,42,37,16,0,189,58,4144
877766,1300,27,36,16,0,189,58,4121
877775,535,17,10,19,1,199,24,2581
877782,1000,29,37,9,0,199,58,5182
877788,1820,50,2,0,1,227,35,9652
877789,1935,22,56,10,1,199,58,9477
877790,2130,25,2,4,1,165,69,2735
877800,1830,16,18,1,1,223,68,9869
877822,1810,49,56,10,0,48,58,4923
877823,1430,27,81,18,1,165,37,2391
877838,1200,32,37,17,0,189,58,7621
877845,330,21,4,0,0,189,58,7427
877848,1000,67,23,20,0,70,70,8509
877872,930,18,10,0,1,189,44,6824
877878,100,32,2,20,1,149,51,9572
877880,845,59,2,3,1,67,58,1496
877884,1900,40,2,2,1,165,32,9799
877886,2000,32,56,15,1,3,54,10042
877891,2030,50,23,19,1,189,70,8298
877893,2230,31,37,10,0,199,58,9583
877907,2310,20,4,9,0,199,58,9081
877911,1700,37,10,0,1,151,27,2504
877913,1900,50,37,4,0,189,58,4408
877915,2135,18,36,9,0,90,58,52
877923,1600,26,37,14,0,227,58,918
877925,1535,49,4,10,1,149,58,9975
877938,1725,25,14,9,1,199,68,8675
877941,1015,32,4,16,1,151,58,7250
877956,2000,19,37,0,0,189,58,8761
877966,1830,53,4,11,1,151,58,8096
877973,600,33,37,14,0,189,58,5400
877980,2335,25,80,17,0,151,68,6485
877994,1050,31,23,17,0,189,70,2590
877999,1110,36,2,1,1,188,21,9079
878004,320,29,4,8,0,189,58,1189
878010,1020,3,17,2,0,188,45,9857
878021,645,80,75,12,1,218,68,6634
878027,1230,41,37,15,0,199,58,9371
878028,130,38,37,4,0,189,58,8145
878037,2200,28,4,16,0,151,58,7328
878044,1530,42,10,11,0,199,14,341
878048,1100,48,4,18,0,151,58,243
878054,700,56,4,12,0,188,58,5147
878058,5,47,2,11,1,3,68,4865
878063,700,27,37,20,0,189,58,2903
878075,755,36,10,15,0,165,24,5124
878101,1700,19,4,15,0,165,58,4803
878104,1150,29,4,0,1,151,58,7097
878112,1040,54,4,8,1,149,58,10055
878113,1535,99,72,12,1,218,68,4623
878114,1450,15,4,14,1,164,58,8556
878118,1950,34,4,16,1,199,58,9940
878132,100,67,16,0,1,7,68,7209
878145,1715,27,2,4,0,227,32,3623
878154,830,42,4,1,1,199,58,1330
878156,1900,49,23,15,0,162,70,6102
878157,1344,15,4,0,1,199,58,6522
878162,1815,28,2,10,0,188,58,5454
878175,1600,13,18,11,0,151,4,7497
878177,1710,37,37,15,0,189,58,5819
878180,2306,31,72,12,1,218,68,4623
878182,1215,40,7,11,0,199,58,10041
878184,2036,50,13,8,1,189,58,6443
878185,2117,61,2,9,0,188,24,2049
878203,350,30,36,3,0,189,69,1461
878207,2150,44,4,0,0,199,58,7866
878212,1230,48,37,0,0,199,58,9330
878219,2330,40,2,1,0,199,35,7416
878228,900,21,2,9,1,199,69,9540
878230,945,34,23,11,0,167,70,2002
878246,1406,26,75,12,0,218,68,4623
878257,2300,33,37,14,0,189,58,982
878265,1450,31,4,9,0,199,68,5252
878275,1645,35,4,1,1,159,58,6742
878277,2230,29,37,17,0,199,68,2169
878282,400,36,80,12,1,218,68,5926
878284,2120,48,4,17,1,189,58,5661
878297,1500,11,24,10,0,50,58,4922
878302,1035,42,10,20,1,188,39,9810
878304,2010,50,2,13,1,199,56,7491
878309,100,43,3,13,1,188,27,4288
878334,300,38,37,11,0,151,58,6723
878340,1713,18,36,0,0,199,58,9681
878344,1230,73,4,19,0,189,58,8281
878351,1800,42,4,20,1,158,58,6830
878352,1745,26,2,14,1,199,58,9214
878363,2250,65,4,19,1,182,58,7847
878369,800,48,10,0,1,189,70,5673
878384,1515,16,7,16,0,67,58,7291
878385,1020,50,4,14,0,48,58,75
878391,1505,40,10,12,0,151,68,5086
878407,1655,23,2,15,1,60,24,5484
878408,1525,53,72,12,0,218,68,6634
878414,1725,25,2,7,1,165,35,8333
878423,1145,24,2,2,1,199,28,8399
878426,1245,42,80,9,0,223,58,4041
878438,1900,63,4,15,1,189,58,5568
878451,805,65,4,17,1,59,58,2572
878453,200,31,56,15,1,151,58,2105
878466,1455,35,36,0,1,189,68,4444
878475,2303,25,2,4,1,188,66,3838
878478,1420,54,37,3,0,199,58,1459
878486,240,32,4,13,1,3,58,5970
878490,2250,25,36,0,0,223,58,9945
878497,1500,54,10,14,0,199,24,9112
878499,200,60,37,0,0,151,58,8382
878514,630,38,36,4,1,189,27,1357
878521,2015,30,4,1,1,74,58,8090
878523,1520,22,7,6,0,199,58,9506
